"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"26","NY","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Once a week",NA,NA,"Fairly closely","Strongly favor","Yes","No","No","No",NA,"No","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"19","MI","Pretty happy","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","Every few days",NA,NA,"Fairly closely","Oppose","Yes","No","No","No",NA,"Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","(VOL) Don't know/Refused"
"23","NE","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","One of the most important things","Not important","One of the most important things","Very important but not the most","Yes","Several times a day","20",NA,"Very closely","Strongly favor","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"Yes","Live with parents","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"24","MS","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Somewhat important","Yes","Less often","7",NA,"Very closely","Favor","No","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"21","IN","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Not important","Not important","Very important but not the most","Somewhat important","Yes","Once a week","10",NA,"Very closely","Favor","No","No","No","No","Yes","Yes","No",NA,"Not employed",NA,"No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"25","VA","Very happy","Very important but not the most","Somewhat important","One of the most important things","One of the most important things","Somewhat important","Not important","Somewhat important","One of the most important things","Yes","Several times a day","50",NA,"Very closely","Favor","Yes","No","No","No","Yes","Yes","Yes","2","Full-time",NA,"Yes","Own","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"18","UT","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","Less often",NA,NA,"Very closely","Strongly oppose","Yes","No","Yes","No",NA,"No","No",NA,"Part-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"29","SC","Not too happy","Very important but not the most","Somewhat important","One of the most important things","One of the most important things","Somewhat important","Somewhat important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Oppose","Yes","No","No","No",NA,NA,"No",NA,"Not employed",NA,"Yes","Rent","High school incomplete (Grades 9-11)","Not covered by health insurance"
"19","FL","Not too happy","One of the most important things","Somewhat important","Very important but not the most","One of the most important things","Not important","Somewhat important","Very important but not the most","Somewhat important","Yes","Less often","0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No","No","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","(VOL) Don't know/Refused"
"24","MD","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","0",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","No","No","No",NA,"Part-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"28","MN","Very happy","One of the most important things","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","About once a day","0",NA,"Fairly closely","Favor","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No","Own","Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"26","AL","Pretty happy","Somewhat important","Somewhat important","Not important","One of the most important things","Very important but not the most","Not important","One of the most important things","Not important","Yes","Less often","2",NA,"Fairly closely","Favor","Yes","No","No","No","Yes","Yes","No",NA,"Full-time",NA,"No","Rent","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"18","KS","Pretty happy","Somewhat important","Very important but not the most","Not important","One of the most important things","One of the most important things","Not important","Very important but not the most","One of the most important things","Yes","Several times a day",NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","Yes","Yes","Yes",NA,NA,"Yes","4","Not employed",NA,"Yes","Rent","High school incomplete (Grades 9-11)","Covered by health insurance"
"22","VA","Pretty happy","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","Several times a day","100",NA,"Very closely","(VOL) Don't know/Refused","No","Yes","No","No","Yes","Yes","Yes","1","Not employed",NA,"Yes","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
